"product_id","product_name","price","rating","rating_count","about_product","review_title","review_content","img_link","product_link","ctgr_1","ctgr_2","ctgr_3","ctgr_4"
"B07JW9H4J1","Wayona Nylon Braided USB to Lightning Fast Charging and Data Sync Cable Compatible for iPhone 13, 12,11, X, 8, 7, 6, 5, iPad Air, Pro, Mini (3 FT Pack of 1, Grey)",1099.0,4.2,24269,"High Compatibility : Compatible With iPhone 12, 11, X/XsMax/Xr ,iPhone 8/8 Plus,iPhone 7/7 Plus,iPhone 6s/6s Plus,iPhone 6/6 Plus,iPhone 5/5s/5c/se,iPad Pro,iPad Air 1/2,iPad mini 1/2/3,iPod nano7,iPod touch and more apple devices.|Fast Charge&Data Sync : It can charge and sync simultaneously at a rapid speed, Compatible with any charging adaptor, multi-port charging station or power bank.|Durability : Durable nylon braided design with premium aluminum housing and toughened nylon fiber wound tightly around the cord lending it superior durability and adding a bit to its flexibility.|High Security Level : It is designed to fully protect your device from damaging excessive current.Copper core thick+Multilayer shielding, Anti-interference, Protective circuit equipment.|WARRANTY: 12 months warranty and friendly customer services, ensures the long-time enjoyment of your purchase. If you meet any question or problem, please don't hesitate to contact us.","satisfied charging really fast value money product review good quality good product good product seems good","look durable charging fine toono complains charging really fast good product till satisfied quality good product charging speed slower original iphone cable good quality would recommend http medium amazon com image w webp 402378 t1 image 81 f1zghl sy88 jpg product worked well till date issue cable also sturdy enough asked replacement company value money","https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/51UsScvHQNL._SX300_SY300_QL70_FMwebp_.jpg","https://www.amazon.in/Wayona-Braided-WN3LG1-Syncing-Charging/dp/B07JW9H4J1/ref=sr_1_1?qid=1672909124&s=electronics&sr=1-1","Computers&Accessories","Accessories&Peripherals","Cables&Accessories","Cables"
"B098NS6PVG","Ambrane Unbreakable 60W / 3A Fast Charging 1.5m Braided Type C Cable for Smartphones, Tablets, Laptops & other Type C devices, PD Technology, 480Mbps Data Sync, Quick Charge 3.0 (RCT15A, Black)",349.0,4.0,43994,"Compatible with all Type C enabled devices, be it an android smartphone (Mi, Samsung, Oppo, Vivo, Realme, OnePlus, etc), tablet, laptop (Macbook, Chromebook, etc)|Supports Quick Charging (2.0/3.0)|Unbreakable  Made of special braided outer with rugged interior bindings, it is ultra-durable cable that wont be affected by daily rough usage|Ideal Length  It has ideal length of 1.5 meters which is neither too short like your typical 1meter cable or too long like a 2meters cable|Supports maximum 3A fast charging and 480 Mbps data transfer speed|6 months manufacturer warranty from the date of purchase","good braided cable type c device good quality product ambrane super cable good quality good product good good quality price one issue unit","ordered cable connect phone android auto car cable really strong connection port really well made already micro usb cable ambrane still good shape connected phone car using cable got connected well issue also connected charging port yes fast charging support quality good price main thing ever thought cable long good one charging power good also support fast charging value money extra length good working fine product quality good good good bought daughter old phone brand new cable charging already repacked requested replacement checked green colour paste fungus inside micro usb connector cleaned alcoholic start working checked ampere charging speed got around 1400ma 1500ma bad came braided 1 5m long cable pretty impressive price blame manufacturer quality issue distributor might stored humid place","https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/31zOsqQOAOL._SY445_SX342_QL70_FMwebp_.jpg","https://www.amazon.in/Ambrane-Unbreakable-Charging-Braided-Cable/dp/B098NS6PVG/ref=sr_1_2?qid=1672909124&s=electronics&sr=1-2","Computers&Accessories","Accessories&Peripherals","Cables&Accessories","Cables"
"B096MSW6CT","Sounce Fast Phone Charging Cable & Data Sync USB Cable Compatible for iPhone 13, 12,11, X, 8, 7, 6, 5, iPad Air, Pro, Mini & iOS Devices",1899.0,3.9,7928," Fast Charger& Data Sync-With built-in safety proctections and four-core copper wires promote maximum signal quality and strength and enhance charging & data transfer speed with up to 480 mb/s transferring speed.| Compatibility-Compatible with iPhone 13, 12,11, X, 8, 7, 6, 5, iPad Air, Pro, Mini & iOS devices.| Sturdy & Durable-The jacket and enforced connector made of TPE and premium copper, are resistant to repeatedly bending and coiling.| Ultra High Quality: According to the experimental results, the fishbone design can accept at least 20,000 bending and insertion tests for extra protection and durability. Upgraded 3D aluminum connector and exclusive laser welding technology, which to ensure the metal part won't break and also have a tighter connection which fits well even with a protective case on and will never loose connection.| Good After Sales Service-Our friendly and reliable customer service will respond to you within 24 hours ! you can purchase with confidence,and every sale includes a 365-day worry-free Service to prove the importance we set on quality.","good speed earlier version good product working good good price good worth money working nice really nice product","quite durable sturdy http medium amazon com image w webp 402378 t1 image 71riggrbucl sy88 jpg working good http medium amazon com image w webp 402378 t1 image 61bkp9yo6wl sy88 jpg product nice product working well really nice product","https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/31IvNJZnmdL._SY445_SX342_QL70_FMwebp_.jpg","https://www.amazon.in/Sounce-iPhone-Charging-Compatible-Devices/dp/B096MSW6CT/ref=sr_1_3?qid=1672909124&s=electronics&sr=1-3","Computers&Accessories","Accessories&Peripherals","Cables&Accessories","Cables"
"B08HDJ86NZ","boAt Deuce USB 300 2 in 1 Type-C & Micro USB Stress Resistant, Tangle-Free, Sturdy Cable with 3A Fast Charging & 480mbps Data Transmission, 10000+ Bends Lifespan and Extended 1.5m Length(Martian Red)",699.0,4.2,94363,"The boAt Deuce USB 300 2 in 1 cable is compatible with smartphones, tablets, PC peripherals, Bluetooth speakers, power banks and all other devices with Type-C as well as Micro USB port|It ensures 3A fast charging and data transmissions with rapid sync at 480 mbps|The premium Nylon braided skin makes it sturdy and invincible against external damage|Its Aluminium alloy shell housing makes it last longer with 10000+ Bends Lifespan with extended frame protection for strain relief|The resilient and flexible design offers a tangle free experience seamlessly|Deuce USB 300 cable offers a perfect 1.5 meters in length for smooth & hassle-free user experience|2 years warranty from the date of purchase","good product good one nice really nice product first time change good fine product could better nice charging like jet","good product long wire charge good nice bought cable r 339 worthy product price tested various charger adapter 33w 18w support fast charging well good ok got good price sale amazon product useful warranty warranty need go far practical cost mine micro type c connector stopped working day like product","https://m.media-amazon.com/images/I/41V5FtEWPkL._SX300_SY300_QL70_FMwebp_.jpg","https://www.amazon.in/Deuce-300-Resistant-Tangle-Free-Transmission/dp/B08HDJ86NZ/ref=sr_1_4?qid=1672909124&s=electronics&sr=1-4","Computers&Accessories","Accessories&Peripherals","Cables&Accessories","Cables"
"B08CF3B7N1","Portronics Konnect L 1.2M Fast Charging 3A 8 Pin USB Cable with Charge & Sync Function for iPhone, iPad (Grey)",399.0,4.2,16905,"[CHARGE & SYNC FUNCTION]- This cable comes with charging & Data sync function|[HIGH QUALITY MATERIAL]- TPE + Nylon Material to make sure that the life of the cable is enhanced significantly|[LONG CORD]- The Cable is extra thick 1.2 meter long, optimized for an easy use for your comfort at home or office|[MORE DURABLE]-This cable is unique interms of design and multi-use and is positioned to provide the best comfort and performance while using|[UNIVERSAL COMPATIBILITY]- Compatible with all devices like iPhone XS, X, XR, 8, 7, 6S, 6, 5S, iPad Pro, iPad mini and iPad Air","good original decent good one secondary use best quality good amazing product mind blowing price nice quality good product","bought instead original apple work 150rs fast apple charger good option want cheap good product bought ipad pro 10 5 working flawlessly build quality ok like gonna hang clothes want strong cable even braided cable stop working year used anker apple store strong braided cable stop working year please buy high end cable instead choose one even stop working withing year loose 150rs compare 2000rs update pin stopped charging one side slip pin charge side update let know long work good sure durability pin area feel bit fragile support apple carplayso little disappointed thatother cable made good quality best buy 100 fathful writing review post 10 month 3 order product honestly portronics konnect l lightning cable work like magic original apple charging brick seeing price cable initially hesitated buying low 99 offer wasnt sure would work well iphone 12 whether would impact iphones battery health lightning cable brand costing 350 like wayona amazon basic etc earlier using wayona brand lightning cable eventually frayed stopped working charging speed charge iphone fast enough almost similar compared original cable level used 12w original apple power adapter quality durability great quality braided cable doesnt tangle easily withstand day day usage l shaped pin innovative portronics make sure cable doesnt get damaged even used charging carplay data sync work smoothly carplay syncs data effortlessly p used cable original apple charging brick extremely satisfied performance better expect product like quality plan buy type cable come usb c lighting cable emergency purpose much love cable buy cable emergency us since good one good product value money","https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/31VzNhhqifL._SX300_SY300_QL70_FMwebp_.jpg","https://www.amazon.in/Portronics-Konnect-POR-1080-Charging-Function/dp/B08CF3B7N1/ref=sr_1_5?qid=1672909124&s=electronics&sr=1-5","Computers&Accessories","Accessories&Peripherals","Cables&Accessories","Cables"
"B08Y1TFSP6","pTron Solero TB301 3A Type-C Data and Fast Charging Cable, Made in India, 480Mbps Data Sync, Strong and Durable 1.5-Meter Nylon Braided USB Cable for Type-C Devices for Charging Adapter (Black)",1000.0,3.9,24871,"Fast Charging & Data Sync: Solero TB301 Type-C cable supports fast charge up to 5V/3A for devices and data syncing speed up to 480Mbps.|Universal Compatibility: This USB charging cable connects USB Type-C devices with standard USB devices like laptops, hard drives, power banks, wall and car chargers, etc..Connector One: Reversible Type C|Connector Two: USB A Type|Rough & Tough Type-C Cable: Charging cable with a double-braided exterior, premium aramid fiber core and metal plugs. It has passed 10,000 bending tests and can easily withstand daily use.|Extended Length: 1.5-meter long c-type cable uses nylon material to protect the wire and avoid knots.|Perfect Fit Connectors: pTron Soler USB-C has passed the 5KG load test, swing test, 5000+ times connect & disconnect to ensure that there are no loose connections.","pretty good average quality good useful usb cable good usb cable experience good long lasting good nice product useful sturdy support 33w charging","good product like good item strong useful usb cablevalue moneythanks amazon producer http medium amazon com image 51112zre 1l sy88 jpg good nice product useful product sturdy support 33w charging","https://m.media-amazon.com/images/I/31wOPjcSxlL._SX300_SY300_QL70_FMwebp_.jpg","https://www.amazon.in/Solero-TB301-Charging-480Mbps-1-5-Meter/dp/B08Y1TFSP6/ref=sr_1_6?qid=1672909124&s=electronics&sr=1-6","Computers&Accessories","Accessories&Peripherals","Cables&Accessories","Cables"
"B08WRWPM22","boAt Micro USB 55 Tangle-free, Sturdy Micro USB Cable with 3A Fast Charging & 480mbps Data Transmission (Black)",499.0,4.1,15188,"It Ensures High Speed Transmission And Charging By Offering 3A Fast Charging And Data Transmissions With Rapid Sync At 480 Mbps|The Braided Skin Makes It Durable And Invincible Against External Damage So You Can Have An Absolute Hassle-Free & Tangle Free Experience|Its Durable Pvc Housing And The Flexible Design Makes It Last 6 Times Longer Than Other Cables|Usb Cable Offers A Perfect 1.5 Meters In Length For Smooth & Hassle-Free User Experience For Superior Charging & Data Transfer Tasks|The Compact And Smooth Aluminium Connector Fits Most Cases Seamlessly And Resists Corrosion For Signal Purity|Micro Usb 55 Cable Offers Universal Compatibility As It Is Compatible With Most Android Smartphones, Tablets, Pc Peripherals, Bluetooth Speakers, Power Banks, Game Consoles & All Micro-Usb Enabled Devices|2 years warranty from the date of purchase","long durable good charge lenovo m8 tab best charging cable good boat product good 1 5","build quality good come 2 year warranty good product bought charging mobile tab work lenovo m8 tab guy cable best compare everyone heat protection quickly charging chance shock circuit good nice good quality 1 5 15watt 150 67","https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/41jlwEZpa5L._SX300_SY300_QL70_FMwebp_.jpg","https://www.amazon.in/boAt-Micro-USB-Tangle-Free-Transmission/dp/B08WRWPM22/ref=sr_1_8?qid=1672909124&s=electronics&sr=1-8","Computers&Accessories","Accessories&Peripherals","Cables&Accessories","Cables"
"B08DDRGWTJ","MI Usb Type-C Cable Smartphone (Black)",299.0,4.3,30411,"1m long Type-C USB Cable|Sturdy and Durable. With USB cable you can transfer data with speeds of upto 480 Mbps|Upto 3A output|6months warranty|Sturdy and Durable. With USB cable you can transfer data with speeds of upto 480 Mbps|6months warranty|Up To 3A Output","worth money suitable android auto good product length nice original good quay cable support fast charging original mi cable charging upto 33 watt veri happy product provide turbo charging","worth money suitable android auto purpose served car got r 150 everything okay packaging good feeling like seller gave used cable good product good product cost original cable bought cable 129 using cable android auto car perfectly work without glitch original mi cable charge upto 33 watt got r 150 67 watt charger want cable car went checked performance battery charging app charging speed exactly half 67 watt original cable go provided turbo charging recommend redmi note 10 mobile phone provide turbo charging veri happy product","https://m.media-amazon.com/images/I/31XO-wfGGGL._SX300_SY300_QL70_FMwebp_.jpg","https://www.amazon.in/MI-MTCY001IN-USB-Type-C-Cable/dp/B08DDRGWTJ/ref=sr_1_9?qid=1672909124&s=electronics&sr=1-9","Computers&Accessories","Accessories&Peripherals","Cables&Accessories","Cables"
"B008IFXQFU","TP-Link USB WiFi Adapter for PC(TL-WN725N), N150 Wireless Network Adapter for Desktop - Nano Size WiFi Dongle Compatible with Windows 11/10/7/8/8.1/XP/ Mac OS 10.9-10.15 Linux Kernel 2.6.18-4.4.3",999.0,4.2,179691,"USB WiFi Adapter  Speedy wireless transmission at up to 150Mbps ideal for video streaming or internet calls|Mini Design  Sleek miniature design so small that once plugged in, can be left in a Laptops USB port|Advanced Security  Supports 64/128 WEP, WPA, PA2/WPA-PSK/WPA2-PSK(TKIP/AES)|Compatibility  Windows 11/10/8.1/8/7/XP, Mac OS 10.15 and earlier, Linux|Easy Setup  Connect in no time with easy setup utility in 14 languages|In an unlikely case of product quality related issue, we may ask you to reach out to brands customer service support and seek resolution. We will require brand proof of issue to process replacement request","work linux get model antenna say brand available lesser price easy handle great product perfect working speed perfect great design build connectivity range packaging feature linux support since v2 good","use connect old pc internet tried lubuntu 20 ubuntu 22 worked box setup extender cable place comfortable place get model antenna otherwise range problem directly line sight wifi router wifi dongle simple plug play device start catching available network right plug usb port additional installation software requires signal strength good wonder would different adapter lesser known brand available much competitive pricing hence star less pro easy use portable connected mobile hotspot used pc budget friendly less installation process heating issue good coverage best alternative usb tethering phone battery may get damaged long term run tethering con internet connection speed varies time also depends modem cellular connection issue occur installing via cd available along product installation driver downloaded tp link site needed reconnect adapter every time system turned work software issue encountered update system worked support center worse call unattended time visit nearby storeconclusion brought 499 ideal user need high speed internet usage good alternative usb tethering budge 1080p youtube video easily played without interruption wifi connectivity great good result however jitter problem exist perfect device connect wifi go wifi adopter good working picture attached size design build quality packaging software speed connectivity experience warranty size design best part compact size sober elegant design big plus easy plug use add good sober design build quality build quality undoubtedly superb qualm held doesnt give cheap flimsy product like feeling good sturdy build quality packaging part also big plus item well cushioned packaged necessary item ensured damage could caused product transportation ensures customer received something damaged internally already software actually good great part product good part cd provided along manual great part linux support given version 2 onwards bad really speed easily support net speed upto 300 mbps practically speaking tested home easily support net speed 100 150 mbps without sigh testing found connect 5ghz network without issue connectivity please mark foot metre multiply metre x 3 get distance foot easily connects laptop phone 7 metre across one room thats 21 foot mean even old bluetooth used connect 15 ft 20 25 foot issue big plus found product experience point view far except linux non compatibility issue found flaw product overall great product warranty 3 year assured atleast 3 year tension free 1 year contrary electronic item today provide 1 year warranty item best adapter bought ever work nicely seemless connectivity","https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/31e6ElWRymL._SX300_SY300_QL70_FMwebp_.jpg","https://www.amazon.in/TP-Link-TL-WN725N-150Mbps-Wireless-Adapter/dp/B008IFXQFU/ref=sr_1_10?qid=1672909124&s=electronics&sr=1-10","Computers&Accessories","NetworkingDevices","NetworkAdapters","WirelessUSBAdapters"
"B082LZGK39","Ambrane Unbreakable 60W / 3A Fast Charging 1.5m Braided Micro USB Cable for Smartphones, Tablets, Laptops & Other Micro USB Devices, 480Mbps Data Sync, Quick Charge 3.0 (RCM15, Black)",299.0,4.0,43994,"Universal Compatibility  It is compatible with all Micro USB enabled devices, be it an android smartphone, tablet, PC peripheral or any other micro USB compatible device|Unbreakable  Made of special braided outer with rugged interior bindings, it is ultra-durable cable that wont be affected by daily rough usage|Ideal Length  It has ideal length of 1.5 meters which is neither too short like your typical 1meter cable or too long like a 2meters cable|Supports maximum 3A fast charging and 480 Mbps data transfer speed|6 Months manufacturer warranty from the date of purchase.","good braided cable type c device good quality product ambrane super cable good quality good product good good quality price one issue unit","ordered cable connect phone android auto car cable really strong connection port really well made already micro usb cable ambrane still good shape connected phone car using cable got connected well issue also connected charging port yes fast charging support quality good price main thing ever thought cable long good one charging power good also support fast charging value money extra length good working fine product quality good good good bought daughter old phone brand new cable charging already repacked requested replacement checked green colour paste fungus inside micro usb connector cleaned alcoholic start working checked ampere charging speed got around 1400ma 1500ma bad came braided 1 5m long cable pretty impressive price blame manufacturer quality issue distributor might stored humid place","https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/31kj3q4SepL._SY445_SX342_QL70_FMwebp_.jpg","https://www.amazon.in/Ambrane-Unbreakable-Charging-Braided-Android/dp/B082LZGK39/ref=sr_1_11?qid=1672909124&s=electronics&sr=1-11","Computers&Accessories","Accessories&Peripherals","Cables&Accessories","Cables"
